name,x,y
pp_0000,620116.4,3372795.9
pp_0001,620866.4,3372795.9
pp_0002,621616.4,3372795.9
pp_0003,622366.4,3372795.9
pp_0004,623116.4,3372795.9
pp_0005,623866.4,3372795.9
pp_0006,620116.4,3372045.9
pp_0007,620866.4,3372045.9
pp_0008,621616.4,3372045.9
pp_0009,622366.4,3372045.9
pp_0010,623116.4,3372045.9
pp_0011,623866.4,3372045.9
pp_0012,620116.4,3371295.9
pp_0013,620866.4,3371295.9
pp_0014,621616.4,3371295.9
pp_0015,622366.4,3371295.9
pp_0016,623116.4,3371295.9
pp_0017,623866.4,3371295.9
pp_0018,620116.4,3370545.9
pp_0019,622366.4,3370545.9
pp_0020,623116.4,3370545.9
pp_0021,623866.4,3370545.9
pp_0022,620116.4,3369795.9
pp_0023,622366.4,3369795.9
pp_0024,623116.4,3369795.9
pp_0025,623866.4,3369795.9
pp_0026,620116.4,3369045.9
pp_0027,622366.4,3369045.9
pp_0028,623116.4,3369045.9
pp_0029,623866.4,3369045.9
pp_0030,620116.4,3368295.9
pp_0031,622366.4,3368295.9
pp_0032,623116.4,3368295.9
pp_0033,623866.4,3368295.9
pp_0034,620116.4,3367545.9
pp_0035,620866.4,3367545.9
pp_0036,621616.4,3367545.9
pp_0037,622366.4,3367545.9
pp_0038,623116.4,3367545.9
pp_0039,623866.4,3367545.9
pp_0040,620116.4,3366795.9
pp_0041,620866.4,3366795.9
pp_0042,621616.4,3366795.9
pp_0043,622366.4,3366795.9
pp_0044,623116.4,3366795.9
pp_0045,623866.4,3366795.9
pp_0046,620116.4,3366045.9
pp_0047,620866.4,3366045.9
pp_0048,621616.4,3366045.9
pp_0049,622366.4,3366045.9
pp_0050,623116.4,3366045.9
pp_0051,623866.4,3366045.9
pp_0052,620116.4,3365295.9
pp_0053,620866.4,3365295.9
pp_0054,621616.4,3365295.9
pp_0055,622366.4,3365295.9
pp_0056,623116.4,3365295.9
pp_0057,623866.4,3365295.9
pp_0058,620866.4,3364545.9
pp_0059,621616.4,3364545.9
pp_0060,622366.4,3364545.9
pp_0061,623116.4,3364545.9
pp_0062,623866.4,3364545.9
pp_0063,621616.4,3363795.9
pp_0064,622366.4,3363795.9
pp_0065,623116.4,3363795.9
pp_0066,623866.4,3363795.9
pp_0000,620116.4,3372795.9
pp_0001,620866.4,3372795.9
pp_0002,621616.4,3372795.9
pp_0003,622366.4,3372795.9
pp_0004,623116.4,3372795.9
pp_0005,623866.4,3372795.9
pp_0006,620116.4,3372045.9
pp_0007,620866.4,3372045.9
pp_0008,621616.4,3372045.9
pp_0009,622366.4,3372045.9
pp_0010,623116.4,3372045.9
pp_0011,623866.4,3372045.9
pp_0012,620116.4,3371295.9
pp_0013,620866.4,3371295.9
pp_0014,621616.4,3371295.9
pp_0015,622366.4,3371295.9
pp_0016,623116.4,3371295.9
pp_0017,623866.4,3371295.9
pp_0018,620116.4,3370545.9
pp_0019,622366.4,3370545.9
pp_0020,623116.4,3370545.9
pp_0021,623866.4,3370545.9
pp_0022,620116.4,3369795.9
pp_0023,622366.4,3369795.9
pp_0024,623116.4,3369795.9
pp_0025,623866.4,3369795.9
pp_0026,620116.4,3369045.9
pp_0027,622366.4,3369045.9
pp_0028,623116.4,3369045.9
pp_0029,623866.4,3369045.9
pp_0030,620116.4,3368295.9
pp_0031,622366.4,3368295.9
pp_0032,623116.4,3368295.9
pp_0033,623866.4,3368295.9
pp_0034,620116.4,3367545.9
pp_0035,620866.4,3367545.9
pp_0036,621616.4,3367545.9
pp_0037,622366.4,3367545.9
pp_0038,623116.4,3367545.9
pp_0039,623866.4,3367545.9
pp_0040,620116.4,3366795.9
pp_0041,620866.4,3366795.9
pp_0042,621616.4,3366795.9
pp_0043,622366.4,3366795.9
pp_0044,623116.4,3366795.9
pp_0045,623866.4,3366795.9
pp_0046,620116.4,3366045.9
pp_0047,620866.4,3366045.9
pp_0048,621616.4,3366045.9
pp_0049,622366.4,3366045.9
pp_0050,623116.4,3366045.9
pp_0051,623866.4,3366045.9
pp_0052,620116.4,3365295.9
pp_0053,620866.4,3365295.9
pp_0054,621616.4,3365295.9
pp_0055,622366.4,3365295.9
pp_0056,623116.4,3365295.9
pp_0057,623866.4,3365295.9
pp_0058,620866.4,3364545.9
pp_0059,621616.4,3364545.9
pp_0060,622366.4,3364545.9
pp_0061,623116.4,3364545.9
pp_0062,623866.4,3364545.9
pp_0063,621616.4,3363795.9
pp_0064,622366.4,3363795.9
pp_0065,623116.4,3363795.9
pp_0066,623866.4,3363795.9
pp_0000,620116.4,3372795.9
pp_0001,620866.4,3372795.9
pp_0002,621616.4,3372795.9
pp_0003,622366.4,3372795.9
pp_0004,623116.4,3372795.9
pp_0005,623866.4,3372795.9
pp_0006,620116.4,3372045.9
pp_0007,620866.4,3372045.9
pp_0008,621616.4,3372045.9
pp_0009,622366.4,3372045.9
pp_0010,623116.4,3372045.9
pp_0011,623866.4,3372045.9
pp_0012,620116.4,3371295.9
pp_0013,620866.4,3371295.9
pp_0014,621616.4,3371295.9
pp_0015,622366.4,3371295.9
pp_0016,623116.4,3371295.9
pp_0017,623866.4,3371295.9
pp_0018,620116.4,3370545.9
pp_0019,622366.4,3370545.9
pp_0020,623116.4,3370545.9
pp_0021,623866.4,3370545.9
pp_0022,620116.4,3369795.9
pp_0023,622366.4,3369795.9
pp_0024,623116.4,3369795.9
pp_0025,623866.4,3369795.9
pp_0026,620116.4,3369045.9
pp_0027,622366.4,3369045.9
pp_0028,623116.4,3369045.9
pp_0029,623866.4,3369045.9
pp_0030,620116.4,3368295.9
pp_0031,622366.4,3368295.9
pp_0032,623116.4,3368295.9
pp_0033,623866.4,3368295.9
pp_0034,620116.4,3367545.9
pp_0035,620866.4,3367545.9
pp_0036,621616.4,3367545.9
pp_0037,622366.4,3367545.9
pp_0038,623116.4,3367545.9
pp_0039,623866.4,3367545.9
pp_0040,620116.4,3366795.9
pp_0041,620866.4,3366795.9
pp_0042,621616.4,3366795.9
pp_0043,622366.4,3366795.9
pp_0044,623116.4,3366795.9
pp_0045,623866.4,3366795.9
pp_0046,620116.4,3366045.9
pp_0047,620866.4,3366045.9
pp_0048,621616.4,3366045.9
pp_0049,622366.4,3366045.9
pp_0050,623116.4,3366045.9
pp_0051,623866.4,3366045.9
pp_0052,620116.4,3365295.9
pp_0053,620866.4,3365295.9
pp_0054,621616.4,3365295.9
pp_0055,622366.4,3365295.9
pp_0056,623116.4,3365295.9
pp_0057,623866.4,3365295.9
pp_0058,620866.4,3364545.9
pp_0059,621616.4,3364545.9
pp_0060,622366.4,3364545.9
pp_0061,623116.4,3364545.9
pp_0062,623866.4,3364545.9
pp_0063,621616.4,3363795.9
pp_0064,622366.4,3363795.9
pp_0065,623116.4,3363795.9
pp_0066,623866.4,3363795.9
